index,angle_q214_signed,sin_q214_signed,cos_q214_signed,cycle
0,0,4,16383,19
1,4289,4240,15826,21
2,-4289,-4240,15825,23
3,8579,8189,14191,24
4,-8579,-8190,14192,26
5,12868,11585,11586,28
6,-12868,-11586,11586,29
7,17157,14191,8189,31
8,-17157,-14191,8190,32
9,25736,16383,2,34
10,-25736,-16384,-2,36
11,7177,6946,14841,38
12,-24449,-16329,1285,39
13,-11580,-10640,12462,40
14,-14247,-12519,10567,41
15,12172,11082,12067,42
16,9095,8630,13925,43
17,20186,15453,5441,44
18,-21261,-15775,4419,45
19,-4019,-3980,15894,48
20,-24202,-16311,1531,49
21,-14482,-12670,10392,50
22,276,284,16378,51
23,-24370,-16325,1363,52
24,-15501,-13291,9586,54
25,7715,7432,14601,55
26,2313,2309,16219,56
27,-14389,-12609,10459,57
28,4595,4536,15742,60
29,15927,13532,9235,61
30,-25401,-16378,335,63
31,15741,13428,9385,64
32,10199,9553,13311,65
33,-8223,-7878,14363,67
34,-17733,-14470,7690,69
35,23534,16236,2196,70
36,-8411,-8046,14273,71
37,-20962,-15691,4707,72
38,-20758,-15632,4901,73
39,17886,14540,7553,76
40,5339,5247,15518,77
41,15808,13466,9331,78
42,11825,10822,12302,79
43,1865,1864,16276,81
44,24352,16321,1386,83
45,-6252,-6103,15209,84
46,2679,2667,16165,85
47,16955,14088,8361,86
48,6100,5961,15258,88
49,18618,14865,6891,90
50,3981,3940,15903,92
51,10530,9817,13113,93
52,-23377,-16213,2350,96
53,-14006,-12362,10751,98
54,-10841,-10069,12927,99
55,-21629,-15872,4067,101
56,-13754,-12194,10941,102
57,-20537,-15567,5114,103
58,-11428,-10523,12560,104
59,6984,6771,14919,105
60,-6957,-6748,14928,106
61,-6682,-6496,15041,108
62,-14952,-12961,10021,109
63,-11994,-10948,12185,110
64,22475,16063,3237,111
65,7620,7348,14643,114
66,5617,5503,15431,116
67,-16927,-14073,8389,118
68,11794,10802,12320,119
69,-17325,-14270,8044,120
70,-6205,-6054,15223,122
71,25197,16374,540,124
72,7206,6974,14827,125
73,2931,2917,16120,126
74,9502,8980,13703,127
75,17647,14426,7763,129
76,14206,12495,10599,130
77,-13946,-12322,10797,132
78,-24084,-16299,1649,134
79,-9499,-8976,13705,135
80,-11955,-10920,12213,138
81,-14876,-12914,10080,140
82,22797,16120,2923,141
83,19372,15163,6206,142
84,-9539,-9012,13686,143
85,8001,7687,14470,144
86,-5372,-5278,15513,145
87,21338,15797,4342,147
88,-2118,-2114,16247,149
89,-12102,-11030,12114,150
90,-13042,-11708,11460,151
91,3159,3137,16081,152
92,-12212,-11108,12038,153
93,4354,4306,15807,154
94,20477,15547,5165,155
95,-5178,-5087,15568,156
96,-14447,-12648,10420,159
97,25609,16383,128,160
98,490,488,16376,161
99,-21057,-15720,4617,163
